Restaurant Name,Dining Rating,Delivery Rating,Dining Votes,Delivery Votes,Cuisine ,Place Name,City,Item Name,Best Seller,Votes,Prices
McDonald's,3.6,4.0,264,0,Desserts,MG Road, Kochi,2 McVeggie Burger + 2 Fries (M) + Veg Pizza McPuff,,0,349.25
Burger King,3.3,4.0,812,0,Beverages,Dadar West, Mumbai,Whopper Partnership Combo- Chicken,,0,695.0
McDonald's,3.6,4.0,264,0,Desserts,MG Road, Kochi,2 McVeggie Burger + 2 Fries (M) + Veg Pizza McPuff,,0,349.25
McDonald's,3.6,4.0,264,0,Desserts,MG Road, Kochi,2 McVeggie Burger + 2 Fries (M) + Veg Pizza McPuff,,0,349.25
Burger King,3.3,4.0,812,0,Beverages,Dadar West, Mumbai,Whopper Partnership Combo- Chicken,,0,695.0
Burger King,3.3,4.0,812,0,Beverages,Dadar West, Mumbai,Whopper Partnership Combo- Chicken,,0,695.0
McDonald's,3.6,4.0,264,0,Desserts,MG Road, Kochi,2 McVeggie Burger + 2 Fries (M) + Veg Pizza McPuff,,0,349.25
Domino's Pizza,2.8,3.6,33,0,Fast Food,Matunga West, Mumbai,Summer Special Combo @ Rs.150 off,Not eligible for coupons,0,649.0
McDonald's,3.6,4.0,264,0,Desserts,MG Road, Kochi,2 McVeggie Burger + 2 Fries (M) + Veg Pizza McPuff,,0,349.25
McDonald's,3.6,4.0,264,0,Desserts,MG Road, Kochi,2 McVeggie Burger + 2 Fries (M) + Veg Pizza McPuff,,0,349.25
McDonald's,3.6,4.0,264,0,Desserts,MG Road, Kochi,2 McVeggie Burger + 2 Fries (M) + Veg Pizza McPuff,,0,349.25
McDonald's,3.6,4.0,264,0,Desserts,MG Road, Kochi,2 McVeggie Burger + 2 Fries (M) + Veg Pizza McPuff,,0,349.25
Burger King,3.3,4.0,812,0,Beverages,Dadar West, Mumbai,Whopper Partnership Combo- Chicken,,0,695.0
McDonald's,3.6,4.0,264,0,Desserts,MG Road, Kochi,2 McVeggie Burger + 2 Fries (M) + Veg Pizza McPuff,,0,349.25
Domino's Pizza,2.8,3.6,33,0,Fast Food,Matunga West, Mumbai,Summer Special Combo @ Rs.150 off,Not eligible for coupons,0,649.0
Burger King,3.3,4.0,812,0,Beverages,Dadar West, Mumbai,Whopper Partnership Combo- Chicken,,0,695.0
Domino's Pizza,2.8,3.6,33,0,Fast Food,Matunga West, Mumbai,Summer Special Combo @ Rs.150 off,Not eligible for coupons,0,649.0
Domino's Pizza,2.8,3.6,33,0,Fast Food,Matunga West, Mumbai,Summer Special Combo @ Rs.150 off,Not eligible for coupons,0,649.0
Domino's Pizza,2.8,3.6,33,0,Fast Food,Matunga West, Mumbai,Summer Special Combo @ Rs.150 off,Not eligible for coupons,0,649.0
Domino's Pizza,2.8,3.6,33,0,Fast Food,Matunga West, Mumbai,Summer Special Combo @ Rs.150 off,Not eligible for coupons,0,649.0
Burger King,3.3,4.0,812,0,Beverages,Dadar West, Mumbai,Whopper Partnership Combo- Chicken,,0,695.0
Burger King,3.3,4.0,812,0,Beverages,Dadar West, Mumbai,Whopper Partnership Combo- Chicken,,0,695.0
Domino's Pizza,2.8,3.6,33,0,Fast Food,Matunga West, Mumbai,Summer Special Combo @ Rs.150 off,Not eligible for coupons,0,649.0
Domino's Pizza,2.8,3.6,33,0,Fast Food,Matunga West, Mumbai,Summer Special Combo @ Rs.150 off,Not eligible for coupons,0,649.0
Burger King,3.3,4.0,812,0,Beverages,Dadar West, Mumbai,Whopper Partnership Combo- Chicken,,0,695.0
Burger King,3.3,4.0,812,0,Beverages,Dadar West, Mumbai,Whopper Partnership Combo- Chicken,,0,695.0
Burger King,3.3,4.0,812,0,Beverages,Dadar West, Mumbai,Whopper Partnership Combo- Chicken,,0,695.0
McDonald's,3.6,4.0,264,0,Desserts,MG Road, Kochi,2 McVeggie Burger + 2 Fries (M) + Veg Pizza McPuff,,0,349.25
McDonald's,3.6,4.0,264,0,Desserts,MG Road, Kochi,2 McVeggie Burger + 2 Fries (M) + Veg Pizza McPuff,,0,349.25
McDonald's,3.6,4.0,264,0,Desserts,MG Road, Kochi,2 McVeggie Burger + 2 Fries (M) + Veg Pizza McPuff,,0,349.25
Domino's Pizza,2.8,3.6,33,0,Fast Food,Matunga West, Mumbai,Summer Special Combo @ Rs.150 off,Not eligible for coupons,0,649.0
McDonald's,3.6,4.0,264,0,Desserts,MG Road, Kochi,2 McVeggie Burger + 2 Fries (M) + Veg Pizza McPuff,,0,349.25
Domino's Pizza,2.8,3.6,33,0,Fast Food,Matunga West, Mumbai,Summer Special Combo @ Rs.150 off,Not eligible for coupons,0,649.0
Domino's Pizza,2.8,3.6,33,0,Fast Food,Matunga West, Mumbai,Summer Special Combo @ Rs.150 off,Not eligible for coupons,0,649.0
McDonald's,3.6,4.0,264,0,Desserts,MG Road, Kochi,2 McVeggie Burger + 2 Fries (M) + Veg Pizza McPuff,,0,349.25
Domino's Pizza,2.8,3.6,33,0,Fast Food,Matunga West, Mumbai,Summer Special Combo @ Rs.150 off,Not eligible for coupons,0,649.0
McDonald's,3.6,4.0,264,0,Desserts,MG Road, Kochi,2 McVeggie Burger + 2 Fries (M) + Veg Pizza McPuff,,0,349.25
McDonald's,3.6,4.0,264,0,Desserts,MG Road, Kochi,2 McVeggie Burger + 2 Fries (M) + Veg Pizza McPuff,,0,349.25
Burger King,3.3,4.0,812,0,Beverages,Dadar West, Mumbai,Whopper Partnership Combo- Chicken,,0,695.0
McDonald's,3.6,4.0,264,0,Desserts,MG Road, Kochi,2 McVeggie Burger + 2 Fries (M) + Veg Pizza McPuff,,0,349.25
Burger King,3.3,4.0,812,0,Beverages,Dadar West, Mumbai,Whopper Partnership Combo- Chicken,,0,695.0
McDonald's,3.6,4.0,264,0,Desserts,MG Road, Kochi,2 McVeggie Burger + 2 Fries (M) + Veg Pizza McPuff,,0,349.25
McDonald's,3.6,4.0,264,0,Desserts,MG Road, Kochi,2 McVeggie Burger + 2 Fries (M) + Veg Pizza McPuff,,0,349.25
Burger King,3.3,4.0,812,0,Beverages,Dadar West, Mumbai,Whopper Partnership Combo- Chicken,,0,695.0
Burger King,3.3,4.0,812,0,Beverages,Dadar West, Mumbai,Whopper Partnership Combo- Chicken,,0,695.0
McDonald's,3.6,4.0,264,0,Desserts,MG Road, Kochi,2 McVeggie Burger + 2 Fries (M) + Veg Pizza McPuff,,0,349.25
Domino's Pizza,2.8,3.6,33,0,Fast Food,Matunga West, Mumbai,Summer Special Combo @ Rs.150 off,Not eligible for coupons,0,649.0
Burger King,3.3,4.0,812,0,Beverages,Dadar West, Mumbai,Whopper Partnership Combo- Chicken,,0,695.0
Domino's Pizza,2.8,3.6,33,0,Fast Food,Matunga West, Mumbai,Summer Special Combo @ Rs.150 off,Not eligible for coupons,0,649.0
Domino's Pizza,2.8,3.6,33,0,Fast Food,Matunga West, Mumbai,Summer Special Combo @ Rs.150 off,Not eligible for coupons,0,649.0
